2022-03-23 19:13:31.024416, 3, 10.01, 989.44, 200.13, 60.11, 909
2022-03-23 19:13:47.446449, 1, 10.56, 990.73, 189.20, 80.03, 828
2022-03-23 19:15:30.448134, 3, 9.93, 989.48, 199.84, 60.43, 909
2022-03-23 19:15:46.951661, 1, 10.53, 990.78, 188.74, 81.62, 829
2022-03-23 19:17:22.099236, 4, 9.98, 989.29, 201.38, 65.71, 331
2022-03-23 19:17:29.908575, 3, 9.82, 989.51, 199.57, 60.98, 909
2022-03-23 19:17:46.422389, 1, 10.51, 990.79, 188.69, 80.84, 829
2022-03-23 19:19:21.540243, 4, 9.95, 989.32, 201.16, 65.54, 331
2022-03-23 19:19:29.359398, 3, 9.79, 989.53, 199.42, 61.19, 911
2022-03-23 19:19:45.903055, 1, 10.46, 990.80, 188.61, 80.88, 829
2022-03-23 19:21:18.970811, 4, 9.96, 989.31, 201.25, 65.89, 331
2022-03-23 19:21:28.780381, 3, 9.79, 989.53, 199.36, 61.49, 910
2022-03-23 19:23:28.198549, 3, 9.71, 989.58, 198.98, 61.75, 911
2022-03-23 19:23:44.951628, 1, 10.38, 990.90, 187.79, 79.88, 829
2022-03-23 19:25:17.889223, 4, 9.78, 989.36, 200.79, 66.00, 331
2022-03-23 19:25:27.538471, 3, 9.63, 989.63, 198.50, 61.76, 912
2022-03-23 19:25:44.462174, 1, 10.31, 990.94, 187.45, 79.10, 829
2022-03-23 19:27:17.329900, 4, 9.77, 989.38, 200.68, 66.35, 331
2022-03-23 19:27:27.257746, 3, 9.58, 989.65, 198.38, 62.32, 911
2022-03-23 19:27:43.960904, 1, 10.24, 990.99, 187.02, 80.76, 829
2022-03-23 19:29:16.798615, 4, 9.81, 989.39, 200.57, 66.23, 331
2022-03-23 19:29:24.668025, 3, 9.63, 989.65, 198.39, 62.49, 912
2022-03-23 19:31:16.244572, 4, 9.85, 989.55, 199.23, 65.86, 331
2022-03-23 19:31:24.143714, 3, 9.66, 989.77, 197.34, 62.48, 912
2022-03-23 19:31:41.007322, 1, 10.40, 991.04, 186.56, 79.90, 829
2022-03-23 19:33:15.694969, 4, 9.87, 989.48, 199.77, 65.51, 330
2022-03-23 19:33:23.574053, 3, 9.75, 989.76, 197.43, 62.32, 912
2022-03-23 19:33:40.557740, 1, 10.24, 991.08, 186.21, 82.35, 829
2022-03-23 19:35:15.175689, 4, 9.80, 989.58, 198.97, 65.35, 330
2022-03-23 19:35:23.024975, 3, 9.75, 989.81, 197.02, 62.12, 913
2022-03-23 19:35:40.088533, 1, 10.26, 991.19, 185.33, 80.55, 829
2022-03-23 19:37:14.606551, 4, 9.68, 989.60, 198.76, 65.42, 330
